"","Nonpeptidergic.Nociceptor_1","Nonpeptidergic.Nociceptor_2","Nonpeptidergic.Nociceptor_3","Peptidergic.Nociceptor_1","Peptidergic.Nociceptor_2","Peptidergic.Nociceptor_3","C.LTMR_1","C.LTMR_2","C.LTMR_3","A�..LTMR_1","A�..LTMR_2","A�..LTMR_3","Aβ.RA.LTMR_4","Aβ.RA.LTMR_5","Aβ.RA.LTMR_1","Aβ.RA.LTMR_2","Aβ.RA.LTMR_3","Aβ.SA1.LTMR_1","Aβ.SA1.LTMR_2","Aβ.SA1.LTMR_3","Aβ.Field.LTMR_1","Aβ.Field.LTMR_2","Aβ.Field.LTMR_3","Proprioceptor_1","Proprioceptor_2","Proprioceptor_3"
"ENSMUSG00000098086",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000085908",0,0,0,2,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081950",0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1
"ENSMUSG00000065400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000076471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000004931",242,227,288,177,135,218,85,146,233,79,62,317,63,288,287,114,220,226,82,275,114,29,126,61,185,260
"ENSMUSG00000037025",0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"ENSMUSG00000085473",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000039315",2,1,0,7,4,8,5,1,4,12,5,10,8,1,14,16,19,40,9,43,16,5,10,4,9,13
"ENSMUSG00000081730",0,5,2,4,2,4,4,0,7,1,0,1,0,0,0,0,0,0,0,17,0,0,4,2,0,0
"ENSMUSG00000075114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068220",711,710,1052,2163,1601,1353,667,1176,1431,1066,1242,9621,2100,7758,7068,6123,6214,3558,2113,5199,1159,339,3403,1247,4409,4320
"ENSMUSG00000028703",703,538,833,1369,1092,1269,953,1196,1758,420,467,1023,617,481,1099,979,1195,1172,669,936,1344,227,1061,573,627,780
"ENSMUSG00000065794",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000027424",202,154,174,324,200,278,147,209,295,121,113,163,58,76,267,176,198,433,184,201,177,34,251,64,147,189
"ENSMUSG00000098979",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000027276",86,123,225,534,688,872,205,299,608,1747,1955,932,410,861,1482,1017,1691,354,742,529,628,341,410,423,1068,1629
"ENSMUSG00000039844",3471,2836,3545,3447,3092,3570,2742,3701,5496,1536,1028,2969,1385,1845,3548,3234,3167,2990,2610,4991,3318,415,2447,1496,3469,4149
"ENSMUSG00000086068",0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000031422",9768,6370,8525,4736,3700,4200,2707,3740,4212,2170,1771,3150,1267,1231,2916,3241,3001,3351,2780,3461,2029,587,2548,1038,2966,3301
"ENSMUSG00000077851",0,0,1,0,0,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000095786",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000069085",58,30,31,55,46,59,103,121,150,6,5,28,1,0,9,34,7,5,0,58,3,3,14,0,1,2
"ENSMUSG00000097845",0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,2,3,0,0,2,1,0,0
"ENSMUSG00000085157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086235",3,3,5,2,0,3,3,2,3,0,0,1,0,1,4,1,1,1,4,0,2,0,2,1,0,2
"ENSMUSG00000066693",0,0,0,1,0,1,0,0,1,0,0,3,0,0,0,1,2,0,0,3,0,0,0,0,2,0
"ENSMUSG00000090342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000093570",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086034",4,17,11,11,8,11,7,10,23,12,3,14,17,13,52,26,38,11,5,23,9,0,28,5,45,64
"ENSMUSG00000080536",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026312",1,1,6,30,37,33,235,695,22,135,143,89,40,58,145,147,126,360,111,311,51,15,27,357,576,738
"ENSMUSG00000027977",1257,1045,1460,2244,1774,2115,896,993,1737,1170,1045,1871,1008,1482,2494,1842,2807,2299,2309,2387,1082,253,1256,472,1346,1760
"ENSMUSG00000028284",3296,2304,2978,2835,2485,2705,1700,2035,3158,1586,1257,1515,664,655,1666,1611,1745,2908,1517,2946,1760,383,1314,849,1941,2361
"ENSMUSG00000077981",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000081821",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000074424",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083739",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000068744",1,1,3,19,7,15,8,4,11,7,19,17,8,20,17,26,22,54,0,11,17,5,5,9,24,22
"ENSMUSG00000063063",8161,5707,8061,12163,9193,10667,8510,11905,17394,3420,3764,5162,1644,3919,7084,6019,7790,11536,8508,9552,10826,2496,12163,1382,2939,3125
"ENSMUSG00000055198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000095016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000787",12496,9263,11837,23134,16666,21251,17293,24585,34703,15915,11838,15577,5879,8442,24348,18726,23396,14690,21527,23855,19521,3973,19807,5021,13344,16002
"ENSMUSG00000023289",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097366",22,13,32,24,15,14,13,23,25,10,10,23,6,8,15,8,17,45,35,30,19,2,21,11,24,27
"ENSMUSG00000080817",0,2,6,2,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,7,0,0,2,0,3,0
"ENSMUSG00000084010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000076555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000084228",3,5,5,15,13,12,3,3,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000027398",0,0,0,0,1,1,4,0,0,3,0,0,0,0,7,0,0,0,0,11,0,0,0,0,0,0
"ENSMUSG00000027108",7233,4760,6997,7654,6471,6837,5703,8046,11012,4213,3910,5962,2361,4099,6244,5371,6098,9306,4555,8190,7034,1692,10338,1690,5285,6546
"ENSMUSG00000052581",16,9,21,26,54,45,19,26,56,130,73,21,50,133,118,82,128,35,68,52,12,13,9,45,36,11
"ENSMUSG00000042035",24071,20307,22868,11190,9704,11972,8241,11000,13727,3261,2212,3852,2039,1560,3935,3851,4708,6625,3890,4623,5069,747,2304,1583,2718,3203
"ENSMUSG00000072852",1,0,0,3,3,5,0,4,0,0,1,0,1,0,5,3,2,0,0,0,0,0,0,5,1,5
"ENSMUSG00000028782",12,2,10,109,138,124,31,46,90,314,208,539,260,435,473,420,579,972,528,488,687,92,516,541,962,1101
"ENSMUSG00000039546",0,0,0,2,1,6,0,3,1,0,2,0,0,0,4,0,8,10,76,66,0,0,0,9,32,41
"ENSMUSG00000072258",259,156,268,257,176,288,242,385,461,234,126,206,159,157,369,383,325,687,309,254,338,60,329,93,166,201
"ENSMUSG00000086108",27,21,45,21,16,20,22,28,33,28,37,18,17,7,18,11,35,6,16,18,38,12,39,24,29,59
"ENSMUSG00000016409",2115,1607,1872,1594,1589,1650,911,1272,1836,782,662,1247,298,849,859,972,1010,2055,993,1174,947,190,1160,275,1029,1148
"ENSMUSG00000085293",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095682",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000029320",2,1,1,2,6,5,0,0,1,9,0,0,1,0,2,10,5,0,0,2,8,0,2,0,1,0
"ENSMUSG00000029249",245,211,249,371,345,431,117,224,322,448,313,288,123,140,309,264,408,84,184,470,249,75,236,125,420,537
"ENSMUSG00000098583",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083515",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000004902",0,1,6,9,28,15,10,21,29,20,19,82,10,22,34,58,37,0,93,39,9,4,25,9,49,53
"ENSMUSG00000058754",0,0,0,6,4,2,10,6,24,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,4
"ENSMUSG00000067971",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000020020",13,4,7,15,16,17,2,0,1,0,1,11,0,9,2,5,1,0,8,0,0,0,0,1,1,2
"ENSMUSG00000038696",3171,2394,3042,3143,2545,2851,1907,2754,3898,1828,1643,2414,1398,1381,3074,2371,2811,4031,3545,3252,2367,509,2224,1230,2425,2873
"ENSMUSG00000098330",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089179",0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086783",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087174",1204,831,1352,1146,738,981,774,975,1424,491,452,650,208,255,772,368,484,931,360,926,347,102,669,166,405,616
"ENSMUSG00000036887",2,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025608",14,29,30,249,176,201,34,39,88,300,165,158,13,8,65,18,45,113,53,135,45,7,32,47,50,68
"ENSMUSG00000029378",32,34,67,18,4,18,3,7,6,6,1,9,0,3,6,3,8,0,26,7,0,0,18,4,27,41
"ENSMUSG00000051827",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000048865",3,0,0,0,0,2,0,0,0,0,2,1,1,0,0,8,9,0,0,0,0,1,0,4,4,0
"ENSMUSG00000079239",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000030088",1,11,3,21,39,49,35,38,51,330,308,1058,124,155,377,327,327,258,260,181,85,16,103,37,61,93
"ENSMUSG00000000439",809,496,708,953,824,836,591,719,1112,275,293,672,326,482,810,658,705,1126,730,1057,715,110,1015,410,949,927
"ENSMUSG00000078657",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000031227",10856,8636,11767,10913,8668,10240,6979,9925,14514,30355,25870,10577,4001,6015,7796,7434,11291,14041,9200,10658,7934,5170,6876,5047,19087,21834
"ENSMUSG00000077230",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000005374",1654,1197,1605,2005,1511,1856,1174,1526,1982,704,618,861,699,628,1616,911,1284,3139,1422,1976,1608,261,1276,702,1246,1669
"ENSMUSG00000028463",3,14,10,19,17,29,54,52,90,2,1,1,2,0,8,8,9,21,4,42,6,2,53,0,6,10
"ENSMUSG00000085816",0,2,0,2,0,2,0,2,0,0,1,4,0,1,1,2,1,0,0,1,0,0,0,2,3,0
"ENSMUSG00000028212",125,85,99,213,156,197,153,227,349,138,136,107,51,57,128,138,171,70,132,162,123,64,201,51,119,154
"ENSMUSG00000028234",3545,2558,3709,1684,1250,1241,959,1262,2076,1059,867,1866,426,1002,1188,1044,941,2018,1119,2243,920,788,1634,443,1632,1898
"ENSMUSG00000083043",0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,2,0,0,1,0,1,2,0,0,1
"ENSMUSG00000090698",14,89,175,181,150,80,49,81,177,228,95,87,5,37,64,7,19,88,23,8,13,1,27,57,250,282
"ENSMUSG00000056978",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000046248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087877",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000029477",51,38,83,26,25,20,21,37,24,5,9,12,2,0,9,19,3,6,5,19,7,2,2,2,7,17
"ENSMUSG00000028218",1800,1165,1706,1562,1268,1322,967,1237,1852,595,447,1077,388,602,1502,912,1110,1297,1456,1556,783,216,1308,442,1874,2162
"ENSMUSG00000035357",484,340,565,709,401,478,53,111,250,83,40,90,33,290,162,96,201,21,56,62,67,24,36,55,124,141
"ENSMUSG00000028182",65,44,54,75,57,83,28,49,62,22,16,51,18,25,69,69,76,59,48,154,56,7,131,20,42,47
"ENSMUSG00000026594",4075,3109,4845,7840,6303,7014,1941,2155,4119,1962,1108,1445,553,343,1484,1389,1700,2769,1429,2126,1918,431,1695,422,993,1130
"ENSMUSG00000067879",6,2,1,0,1,4,1,0,0,0,0,0,0,0,5,26,1,0,37,7,4,1,3,1,0,8
"ENSMUSG00000096598",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081105",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ENSMUSG00000081465",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083671",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000065258",3,2,3,4,0,5,1,3,4,0,0,3,1,2,0,2,3,0,3,5,1,0,0,0,7,1
"ENSMUSG00000042115",201,290,258,2728,2121,1922,810,1051,1486,828,772,2894,497,1375,1360,1176,1348,197,204,551,173,59,183,777,2446,2584
"ENSMUSG00000033722",4,0,1,68,70,49,20,15,66,87,60,134,67,64,207,186,189,213,192,158,96,11,79,95,199,187
"ENSMUSG00000042606",131,182,274,300,206,273,163,182,221,154,85,152,93,131,142,194,213,135,132,228,292,57,291,59,130,154
"ENSMUSG00000064315",1,1,1,2,0,0,0,1,1,1,0,0,1,1,2,3,2,0,0,2,0,0,0,3,1,0
"ENSMUSG00000096920",2,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,2,0,1,1,0,1,0,1,3,2
"ENSMUSG00000089838",0,0,2,1,3,1,0,2,2,0,1,1,1,1,3,3,2,2,1,2,1,0,1,0,0,2
"ENSMUSG00000081144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000030161",23085,18578,25212,27344,19857,22206,13452,17381,24296,11695,9241,27493,9601,19298,33058,31026,29235,37198,25163,43403,18189,4524,27006,10456,31062,32525
"ENSMUSG00000089069",0,2,3,1,0,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083628",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053054",0,7,4,5,0,6,0,1,0,3,1,7,2,0,5,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000085020",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086874",0,0,0,1,0,4,1,0,0,1,3,0,0,1,3,1,3,0,0,0,1,0,0,1,0,0
"ENSMUSG00000016524",0,0,0,2,0,0,1,0,0,2,0,0,0,0,1,6,0,127,0,0,2,0,0,1,5,2
"ENSMUSG00000084718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000029563",6,3,27,114,112,74,158,228,600,81,26,69,2,50,73,43,23,1,18,1,16,2,12,19,16,65
"ENSMUSG00000058017",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000082381",0,2,0,1,0,5,2,1,2,0,0,1,1,1,0,0,3,0,1,2,1,0,0,1,1,0
"ENSMUSG00000087510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026315",142,41,289,4731,3611,3113,670,719,1285,298,103,130,19,10,25,33,41,987,185,429,1186,303,1176,58,187,162
"ENSMUSG00000086957",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"ENSMUSG00000036882",401,493,679,909,636,714,651,893,1241,403,281,350,171,213,338,221,268,337,320,285,394,68,267,139,128,195
"ENSMUSG00000068816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086641",0,0,0,0,0,3,8,7,4,9,1,4,0,0,10,2,4,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089312",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000070697",1807,1297,1661,2844,2152,2504,1475,2076,2499,1096,741,1795,809,1030,2116,1844,1923,1962,1159,2506,1639,418,2757,877,1785,1900
"ENSMUSG00000083244",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000056771",289,214,320,371,357,408,137,205,260,317,273,311,289,195,496,553,530,1164,960,928,544,83,237,295,519,610
"ENSMUSG00000091962",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000080968",2,0,1,1,2,2,0,2,1,0,0,0,0,0,3,0,3,4,1,0,1,1,0,0,1,0
"ENSMUSG00000031506",0,0,0,1,1,0,0,0,2,0,0,1,0,0,2,0,0,0,0,2,0,0,2,5,0,1
"ENSMUSG00000051046",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097288",14,0,0,5,6,5,5,17,19,7,3,10,4,38,2,3,5,0,0,24,4,0,1,7,6,9
"ENSMUSG00000074003",1,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000048988",92,69,91,3746,3143,2968,560,452,765,820,653,1941,1121,1525,2637,2179,2822,5788,3337,3552,3999,553,3585,471,843,722
"ENSMUSG00000098498",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000043614",98,97,93,53,41,31,39,74,112,13,14,69,26,114,30,52,67,121,90,94,32,7,62,20,97,150
"ENSMUSG00000036813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"ENSMUSG00000077256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026301",0,0,0,13,11,8,11,13,16,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"ENSMUSG00000015340",93,30,44,4,12,7,2,2,0,6,3,6,0,0,14,0,1,0,0,0,0,0,8,0,0,1
"ENSMUSG00000083608",0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,1,1,0,0,0
"ENSMUSG00000092483",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"ENSMUSG00000064967",0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"ENSMUSG00000006304",17053,12528,16592,14151,11420,12984,13169,18315,26081,5004,4476,10276,4011,5152,9943,9230,10033,15085,9130,13296,8965,1820,12301,3801,8701,9696
"ENSMUSG00000027472",6033,3952,5065,1874,1622,1719,1603,2168,3252,1081,1148,3928,1354,1463,2418,2753,2133,4967,2218,4497,1692,423,2941,1225,5683,4374
"ENSMUSG00000085424",0,0,0,0,0,1,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089735",2,0,1,7,8,9,13,21,21,4,0,2,15,2,7,17,12,5,7,21,17,4,2,1,9,9
"ENSMUSG00000065266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000039519",65,24,72,46,61,59,49,50,56,126,131,380,129,140,273,271,383,704,497,407,247,57,420,75,149,260
"ENSMUSG00000049160",0,0,3,2,6,17,3,2,8,5,1,7,0,0,0,3,5,0,0,0,0,0,0,2,4,2
"ENSMUSG00000091422",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000085006",2,1,0,0,0,1,0,4,2,1,0,1,0,3,1,0,1,0,2,1,1,0,2,0,0,3
"ENSMUSG00000003808",852,760,1115,689,526,518,341,598,673,381,285,986,340,724,1002,953,1012,2235,784,1465,529,128,458,261,586,735
"ENSMUSG00000048388",8916,6020,8676,13657,11316,12310,4927,6358,10326,3907,2570,4944,2421,2874,7558,6337,7475,12825,7263,9202,10007,1873,8446,1632,4461,5659
"ENSMUSG00000064850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000056531",8,7,15,54,48,53,12,13,35,68,7,10,6,1,7,33,24,1,2,30,18,19,29,5,8,15
"ENSMUSG00000094983",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1
"ENSMUSG00000046432",23627,18079,25530,5650,3947,4340,3856,5767,8126,1539,1155,4824,810,2043,2093,1535,1708,1352,1458,3820,999,381,1205,2089,9218,10509
"ENSMUSG00000060183",0,3,0,0,5,3,4,3,2,0,0,1,3,0,14,0,5,0,0,8,3,0,0,2,7,25
"ENSMUSG00000041907",55,53,58,48,48,57,11,8,22,6,30,28,3,8,30,4,11,130,14,21,24,6,4,2,10,11
"ENSMUSG00000087123",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097137",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087943",97,82,123,84,91,63,46,67,110,72,60,159,448,193,231,202,90,12,330,139,162,45,261,472,78,104
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000040389",5896,4510,6366,7905,6616,7472,5320,7377,10099,2841,2521,3683,1677,1970,4037,3787,5015,6688,3902,5080,4775,1047,4230,1591,2863,3781
"ENSMUSG00000008730",7227,6163,8187,9973,9008,9614,5456,7889,10189,4868,3184,3863,1922,2253,3763,4013,4263,5556,3900,4393,5673,1054,3202,2290,4533,6183
"ENSMUSG00000086848",4,1,0,9,5,1,0,0,0,1,3,18,7,5,16,22,17,1,12,114,7,1,16,15,16,55
"ENSMUSG00000086164",0,1,0,0,1,4,1,0,0,2,4,4,2,0,0,0,1,0,0,0,0,0,0,2,5,6
"ENSMUSG00000094122",6,1,0,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0
"ENSMUSG00000072677",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000092405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
