"","Nonpeptidergic.Nociceptor_1","Nonpeptidergic.Nociceptor_2","Nonpeptidergic.Nociceptor_3","Peptidergic.Nociceptor_1","Peptidergic.Nociceptor_2","Peptidergic.Nociceptor_3","C.LTMR_1","C.LTMR_2","C.LTMR_3","A�..LTMR_1","A�..LTMR_2","A�..LTMR_3","Aβ.RA.LTMR_4","Aβ.RA.LTMR_5","Aβ.RA.LTMR_1","Aβ.RA.LTMR_2","Aβ.RA.LTMR_3","Aβ.SA1.LTMR_1","Aβ.SA1.LTMR_2","Aβ.SA1.LTMR_3","Aβ.Field.LTMR_1","Aβ.Field.LTMR_2","Aβ.Field.LTMR_3","Proprioceptor_1","Proprioceptor_2","Proprioceptor_3"
"ENSMUSG00000026447",275,242,162,333,406,477,230,534,220,499,518,877,263,428,872,661,898,242,170,515,499,80,284,137,264,409
"ENSMUSG00000049536",1817,1046,1495,1120,974,967,632,910,1428,2801,1684,1228,396,562,655,681,780,1182,648,1039,420,452,797,336,1705,1907
"ENSMUSG00000034574",6902,4809,7676,4781,4224,4617,4140,5627,8945,2955,2235,3558,2658,2629,6125,6354,7341,9008,4732,6062,7237,1441,6756,1813,3194,3782
"ENSMUSG00000084026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000092777",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035427",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000023191",4,9,11,64,61,59,37,28,76,34,23,61,33,74,66,63,138,61,147,23,31,5,17,31,68,117
"ENSMUSG00000056586",0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,14,1,25,35
"ENSMUSG00000038422",135,110,183,83,78,84,41,93,76,43,28,200,58,268,152,83,159,12,175,286,77,22,131,106,303,509
"ENSMUSG00000093161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000020423",360,855,1326,5526,4024,2981,1098,1341,2395,1085,751,1197,488,700,2116,724,450,458,367,781,667,206,862,1064,1949,3444
"ENSMUSG00000095420",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028427",2,1,1,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1
"ENSMUSG00000073018",7,0,16,18,3,13,12,7,11,2,2,0,5,1,0,3,5,0,0,0,1,0,3,0,3,2
"ENSMUSG00000025931",2093,1448,2103,4887,4135,4247,1210,1256,2213,2239,1579,2975,1480,1191,3284,3068,3369,4205,3228,3678,4477,863,3312,1496,2974,3723
"ENSMUSG00000097272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025759",662,454,704,805,638,688,290,368,567,308,323,520,126,138,709,426,558,408,320,484,407,97,391,127,453,490
"ENSMUSG00000095531",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000098307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094363",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000044141",15,1,21,9,6,6,1,1,4,1,0,0,0,0,8,3,2,0,1,1,3,1,1,1,6,5
"ENSMUSG00000028712",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083277",0,0,0,0,1,1,0,0,0,0,8,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000057047",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096879",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000066752",0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"ENSMUSG00000064923",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000098786",0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081954",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000065259",0,0,1,5,1,3,4,5,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13
"ENSMUSG00000083202",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000054455",6721,4309,6468,8772,7043,7882,4421,6337,8504,4060,3613,6134,3227,4064,6597,6532,6424,9652,4246,7718,8910,1761,8450,3469,5508,6426
"ENSMUSG00000015290",7692,5963,8145,4646,4137,4487,3226,4689,6592,2803,2043,3337,869,1346,2593,2070,2315,4838,2433,3957,2404,634,3115,940,3284,3554
"ENSMUSG00000028840",47,40,77,25,21,24,19,25,47,22,5,40,7,33,7,4,20,12,2,52,7,2,78,1,27,43
"ENSMUSG00000096895",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000031618",242,54,183,1025,935,1073,629,876,1102,774,723,894,911,812,1575,1533,1765,3307,2637,2673,2232,409,1833,658,1261,1419
"ENSMUSG00000095591",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088314",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000033767",4554,3750,5074,3790,2915,3474,4316,6565,8736,1537,1726,4252,868,1330,2136,1922,2817,2483,1502,2466,2693,425,2130,416,694,858
"ENSMUSG00000028602",0,0,0,0,0,0,2,0,0,1,2,0,1,0,0,0,6,0,0,0,3,0,0,0,0,0
"ENSMUSG00000073559",5,1,3,1,1,0,0,0,2,0,1,2,1,0,0,0,0,1,1,7,0,0,1,2,1,0
"ENSMUSG00000017733",0,14,8,7,11,10,172,269,290,1,2,0,3,0,0,0,0,0,0,0,4,1,21,2,0,1
"ENSMUSG00000089826",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000055172",0,1,1,4,4,4,2,1,5,4,9,0,2,4,0,0,2,0,0,0,1,0,0,2,0,7
"ENSMUSG00000016493",39,11,30,41,40,43,36,30,77,23,42,8,9,28,22,5,26,1,0,39,13,1,24,6,18,6
"ENSMUSG00000026208",1,0,0,2,1,7,0,1,1,28,5,16,11,5,4,21,7,4,0,0,1,0,0,4,0,1
"ENSMUSG00000096480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000073141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000077995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081439",2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000080966",12,5,17,13,9,9,7,5,10,3,3,5,2,3,3,2,9,48,4,5,8,2,7,4,5,9
"ENSMUSG00000089287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000039391",19,11,9,37,16,20,6,24,9,16,12,13,10,1,9,28,3,3,11,35,15,4,47,3,8,21
"ENSMUSG00000086593",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000064992",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094714",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000090131",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000029518",1357,1044,1545,1109,873,924,780,1041,1629,441,479,1530,454,793,1408,1026,1127,1588,923,1166,715,169,912,428,1225,1326
"ENSMUSG00000093447",1,0,12,9,3,8,1,3,3,15,8,11,6,6,5,8,3,7,5,6,2,3,3,11,11,9
"ENSMUSG00000029685",0,0,7,6,0,1,0,7,7,6,2,28,0,0,3,8,7,2,0,2,0,1,0,13,19,12
"ENSMUSG00000095375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000091318",6,3,5,14,17,13,0,2,13,1,5,0,1,0,4,1,0,0,0,0,0,1,0,0,2,2
"ENSMUSG00000028826",2134,1548,2252,4485,3368,3259,2142,2802,4401,1381,1045,1656,637,837,1931,1842,2134,2065,1566,2135,1951,381,1983,774,1218,1319
"ENSMUSG00000082193",7,8,3,3,5,4,3,3,6,1,0,3,3,0,0,0,0,2,1,1,2,0,2,0,1,0
"ENSMUSG00000087110",0,0,0,0,4,4,3,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000082773",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000055900",194,141,247,334,186,257,115,214,273,133,119,214,127,251,231,154,195,216,244,265,246,35,386,111,248,224
"ENSMUSG00000040181",108,95,193,657,940,1048,271,431,948,710,429,838,444,1584,1745,1267,1598,747,1018,985,700,192,452,715,1827,2560
"ENSMUSG00000032724",2166,1564,2463,2658,1951,2168,4490,6298,10145,2653,2876,7278,1845,3002,5183,5088,5760,4552,1117,1560,2721,513,2854,393,883,895
"ENSMUSG00000042213",20,14,15,102,105,110,31,40,87,62,14,34,17,82,74,60,57,172,54,128,29,13,53,45,61,101
"ENSMUSG00000081536",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083811",7,5,0,0,5,3,2,5,4,1,3,0,3,0,0,7,0,0,0,1,3,0,0,9,3,16
"ENSMUSG00000065353",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000029203",6787,5506,6944,7859,6811,7211,4153,5886,7240,4882,3735,6226,3347,3836,7204,7681,7057,12588,6542,9127,7150,1469,8219,3260,8562,8652
"ENSMUSG00000029545",78,60,77,88,48,63,45,65,86,43,45,140,67,221,200,111,140,161,209,198,121,27,133,63,126,113
"ENSMUSG00000067597",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000015665",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096364",2,5,5,6,7,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0
"ENSMUSG00000031779",0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000088367",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000074965",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081514",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"ENSMUSG00000098273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083076",5,6,4,12,17,12,4,10,14,92,115,7,23,1,5,10,5,6,4,2,2,15,3,23,10,8
"ENSMUSG00000029433",6904,5931,8176,11500,8231,9520,3391,4250,5980,2767,2034,6768,2435,3917,6055,5016,5216,9825,3559,7593,3614,859,4537,3897,10891,12121
"ENSMUSG00000099150",0,0,0,5,8,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025757",17096,13260,17075,23603,18916,22686,12157,16302,23423,16067,14715,14604,6295,7634,20429,18132,24275,27008,15617,21838,22125,4683,20915,4906,14668,15366
